SampleID	Zymo	Platform	Extraction	SuperNatant	Length	Limit	Overlaps	ContigID	Taxon	ContigSize
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg1	Pseudomonas aeruginosa	6752482
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg2	Salmonella enterica	1286586
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg3	Salmonella enterica	331171
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg4	Salmonella enterica	282455
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg5	Salmonella enterica	243078
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg6	Escherichia coli	303615
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg7	Escherichia coli	252089
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg8	Salmonella enterica	164393
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg9	Escherichia coli	153863
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg10	Salmonella enterica	151403
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg11	Salmonella enterica	147007
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg12	Escherichia coli	177611
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg13	Escherichia coli	118748
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg14	Escherichia coli	120298
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg15	Salmonella enterica	120413
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg16	Escherichia coli	109726
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg17	Salmonella enterica	110960
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg18	Salmonella enterica	106012
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg19	Escherichia coli	204997
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg20	Escherichia coli	199910
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg21	Salmonella enterica	91475
